"file.name","TMAO-d9","GABA-d6","Choline-d9","Creatinine-d3","Orn-15N2","His-15N","Carnitine-d3","MeHis-d3","F-Phe","F-Tyr","Cl-Tyr"
"",14.258033333333,17.490916666667,15.028566666667,16.385383333333,15.296583333333,16.619883333333,19.534516666667,17.03865,25.28005,26.184583333333,26.5196
"",15.162566666667,18.345216666667,15.8996,17.239666666667,16.150866666667,17.457415625,20.33855,17.876183333333,25.916583333333,26.804366666667,27.139383333333
"",16.000116666667,19.166,16.7539,18.09395,16.9884,18.294966666667,21.092333333333,18.680233333333,26.56985,27.42415,27.759166666667
"",16.8544,19.970033333333,17.608183333333,18.931483333333,17.842683333333,19.11575,21.846116666667,19.501016666667,27.189633333333,28.027166666667,28.345433333333
"",17.758933333333,20.774066666667,18.495966666667,19.769016666667,18.696983333333,19.919783333333,22.616683333333,20.30505,27.826166666667,28.6302,28.965216666667
"",18.680233333333,21.56135,19.38375,20.589816666667,19.534516666667,20.723816666667,23.370466666667,21.092333333333,28.429183333333,29.233216666667,29.551483333333
"",19.568016666667,22.382183333333,20.23805,21.4106,20.37205,21.52785,24.12425,21.8964,29.082466666667,29.853,30.171266666667
"20230202_134_145",8.78355,12.401733333333,9.637866666667,11.162183333333,9.855633333333,11.37995,14.696583333333,11.848966666667,21.296416666667,22.334966666667,22.720233333333
"",9.721616666667,13.256033333333,10.542416666667,12.049966666667,10.776916666667,12.267733333333,15.517383333333,12.72,21.99995,23.021733333333,23.407
"",10.626166666667,14.127066666667,11.44695,12.937766666667,11.681466666667,13.155516666667,16.321416666667,13.6078,22.703483333333,23.691766666667,24.077033333333
"",11.5307,14.98135,12.351483333333,13.82555,12.586,14.026566666667,17.12545,14.478833333333,23.407,24.37855,24.747066666667
"",12.452,15.818883333333,13.256033333333,14.679833333333,13.490533333333,14.8976,17.946233333333,15.333116666667,24.093783333333,25.048583333333,25.4171
"",13.373283333333,16.656416666667,14.160566666667,15.550883333333,14.378333333333,15.751883333333,18.767016666667,16.1874,24.797316666667,25.7186,26.087116666667
"",14.294566666667,17.510716666667,15.04835,16.405166666667,15.266116666667,16.606166666667,19.5878,17.024933333333,25.4841,26.371883333333,26.72365
"",15.182366666667,18.365,15.9194,17.25945,16.13715,17.460467708333,20.391833333333,17.879233333333,26.154133333333,27.041916666667,27.376933333333
"",16.07015,19.236033333333,16.807183333333,18.147233333333,17.008183333333,18.3315,21.212666666667,18.750266666667,26.8409,27.6952,28.0302
"",16.941183333333,20.073566666667,17.694966666667,19.035033333333,17.895983333333,19.202533333333,21.99995,19.5878,27.510933333333,28.331716666667,28.666733333333
"",17.862483333333,20.91115,18.616266666667,19.889316666667,18.783766666667,20.040066666667,22.803983333333,20.425333333333,28.164216666667,28.985,29.320016666667
"",18.800516666667,21.748683333333,19.4873,20.743633333333,19.6548,20.8944,23.591266666667,21.262916666667,28.817483333333,29.621533333333,29.939783333333
"",19.7218,22.586216666667,20.425333333333,21.614683333333,20.52585,21.731933333333,24.37855,22.10045,29.487516666667,30.2748,30.576316666667
"20230202_25_36",9.399133333333,13.41935,10.320433333333,12.04575,10.6052,12.297016666667,15.931966666667,12.799533333333,23.319033333333,24.491616666667,24.927133333333
"",10.353933333333,14.30715,11.275216666667,12.967083333333,11.559983333333,13.21835,16.78625,13.720866666667,24.022566666667,25.1784,25.613916666667
"",11.342216666667,15.211683333333,12.246766666667,13.888366666667,12.531533333333,14.139633333333,17.640533333333,14.64215,24.759633333333,25.881933333333,26.3007
"",12.313766666667,16.082716666667,13.2016,14.809666666667,13.4696,15.060916666667,18.494816666667,15.52995,25.463166666667,26.568716666667,26.970733333333
"",13.2686,16.9705,14.139633333333,15.69745,14.3909,15.948716666667,19.365866666667,16.434483333333,26.1667,27.238733333333,27.657516666667
"",14.206633333333,17.8583,15.060916666667,16.601983333333,15.328933333333,16.85325,20.22015,17.322267708333,26.886983333333,27.942266666667,28.327533333333
"",15.127933333333,18.746083333333,15.965466666667,17.489783333333,16.250233333333,17.757783333333,21.074433333333,18.210066666667,27.57375,28.6123,29.014316666667
"",16.049216666667,19.650616666667,16.88675,18.394316666667,17.171516666667,18.645583333333,21.911966666667,19.1146,28.277283333333,29.282333333333,29.6676
"",16.98725,20.555166666667,17.80805,19.332366666667,18.0928,19.550116666667,22.7495,20.002383333333,28.964066666667,29.95235,30.337616666667
"",17.9253,21.4262,18.762833333333,20.2369,19.0141,20.45465,23.5703,20.890183333333,29.65085,30.622383333333,30.9909
"",18.913583333333,22.297233333333,19.751133333333,21.174933333333,19.935383333333,21.34245,24.391116666667,21.761216666667,30.337616666667,31.275666666667,31.644183333333
"",19.868383333333,23.151516666667,20.672416666667,22.045983333333,20.823166666667,22.179983333333,25.19515,22.59875,31.00765,31.92895,32.297466666667
"",20.806416666667,23.989066666667,21.57695,22.900266666667,21.694216666667,23.034266666667,25.965683333333,23.436283333333,31.644183333333,32.548716666667,32.900483333333
"20230202_37_48",9.329033333333,13.081233333333,10.216833333333,11.7914,10.468083333333,12.0259,15.409583333333,12.511683333333,22.143383333333,23.198683333333,23.61745
"",10.233583333333,13.902033333333,11.121366666667,12.645716666667,11.355883333333,12.880233333333,16.180116666667,13.34925,22.796666666667,23.83525,24.237266666667
"",11.121366666667,14.706066666667,11.94215,13.48325,12.210166666667,13.717766666667,16.9339,14.170033333333,23.433183333333,24.455016666667,24.857033333333
"",11.9924,15.5101,12.813233333333,14.3208,13.081233333333,14.53855,17.704433333333,14.990816666667,24.0865,25.0748,25.460066666667
"",12.863483333333,16.314133333333,13.667516666667,15.141583333333,13.918783333333,15.376083333333,18.491716666667,15.811616666667,24.706283333333,25.694583333333,26.063083333333
"",13.734516666667,17.101415625,14.5218,15.962366666667,14.789816666667,16.196883333333,19.26225,16.61565,25.342816666667,26.2976,26.666116666667
"",14.60555,17.9222,15.392833333333,16.78315,15.6441,17.000916666667,20.032783333333,17.436434375,25.979333333333,26.900633333333,27.2524
